"medcode"	"readcode"	"readterm"	"newcat"
"82471"	"1T5..00"	"h/o cocaine misuse"	"Drug misuse"
"82476"	"1T83.00"	"previous history of cannabis misuse"	"Drug misuse"
"82479"	"1T0..00"	"h/o heroin misuse"	"Drug misuse"
"8284"	"E243.00"	"cannabis type drug dependence"	"Drug misuse"
"83564"	"1T82.00"	"h/o infrequent cannabis misuse"	"Drug misuse"
"83574"	"1T43.00"	"previous history of amphetamine misuse"	"Drug misuse"
"8388"	"ZV57A00"	"[v]alcohol rehabilitation"	"Alcohol misuse"
"84156"	"1T53.00"	"previous history of cocaine misuse"	"Drug misuse"
"84215"	"1T9..00"	"h/o solvent misuse"	"Drug misuse"
"8430"	"1462.00"	"h/o: alcoholism"	"Alcohol misuse"
"8463"	"ZV6D700"	"[v]drug abuse counselling and surveillance"	"Drug misuse"
"85091"	"1T50.00"	"h/o daily cocaine misuse"	"Drug misuse"
"85096"	"1T4..00"	"h/o amphetamine misuse"	"Drug misuse"
"85097"	"1T1..00"	"h/o methadone misuse"	"Drug misuse"
"85671"	"1T63.00"	"previous history of crack cocaine misuse"	"Drug misuse"
"85834"	"1T3..00"	"h/o benzodiazepine misuse"	"Drug misuse"
"85956"	"1T...00"	"history of substance misuse"	"Drug misuse"
"86002"	"1T00.00"	"h/o daily heroin misuse"	"Drug misuse"
"86035"	"1T6..00"	"h/o crack cocaine misuse"	"Drug misuse"
"86036"	"1TD..00"	"h/o opiate misuse"	"Drug misuse"
"86754"	"1T80.00"	"h/o daily cannabis misuse"	"Drug misuse"
"86771"	"1T13.00"	"previous history of methadone misuse"	"Drug misuse"
"87002"	"1T52.00"	"h/o infrequent cocaine misuse"	"Drug misuse"
"87502"	"1T81.00"	"h/o weekly cannabis misuse"	"Drug misuse"
"87505"	"E247.11"	"absinthe addiction"	"Drug misuse"
"88372"	"1T02.00"	"previous history of heroin misuse"	"Drug misuse"
"88760"	"1TD0.00"	"h/o daily opiate misuse"	"Drug misuse"
"88781"	"1T42.00"	"h/o infrequent amphetamine misuse"	"Drug misuse"
"88782"	"1T41.00"	"h/o weekly amphetamine misuse"	"Drug misuse"
"88844"	"1T62.00"	"h/o infrequent crack cocaine misuse"	"Drug misuse"
"88990"	"1T60.00"	"h/o daily crack cocaine misuse"	"Drug misuse"
"89145"	"1T03.00"	"h/o infrequent heroin misuse"	"Drug misuse"
"89698"	"1T23.00"	"previous history of ecstasy misuse"	"Drug misuse"
"89930"	"1T93.00"	"previous history of solvent misuse"	"Drug misuse"
